Time,m_2_Positive,m_2_Negative,m_3_Positive,m_3_Negative,m_5_Positive,m_5_Negative,m_10_Positive,m_10_Negative
19,154.66666666666666,136.0,148.33333333333334,140.33333333333334,154.33333333333334,135.33333333333334,142.66666666666666,148.0
20,154.33333333333334,134.0,145.66666666666666,140.33333333333334,153.66666666666666,137.33333333333334,141.66666666666666,149.66666666666666
21,152.33333333333334,136.33333333333334,146.0,139.0,153.66666666666666,138.0,141.0,149.33333333333334
22,154.0,137.33333333333334,148.33333333333334,138.33333333333334,154.0,138.66666666666666,142.33333333333334,148.66666666666666
23,154.66666666666666,136.0,149.0,139.33333333333334,149.66666666666666,136.33333333333334,141.0,149.0
24,155.33333333333334,135.0,150.0,140.33333333333334,149.66666666666666,136.66666666666666,141.66666666666666,149.0
25,153.66666666666666,134.0,148.66666666666666,140.0,149.33333333333334,138.33333333333334,143.33333333333334,148.33333333333334
26,153.0,134.0,147.0,140.66666666666666,148.66666666666666,138.66666666666666,143.0,148.0
27,154.33333333333334,133.33333333333334,147.33333333333334,141.33333333333334,148.0,140.66666666666666,141.66666666666666,146.33333333333334
28,154.0,131.33333333333334,146.66666666666666,140.66666666666666,145.33333333333334,140.33333333333334,142.33333333333334,146.66666666666666
29,155.0,133.33333333333334,149.33333333333334,139.33333333333334,144.66666666666666,141.66666666666666,141.33333333333334,148.0
30,161.66666666666666,131.66666666666666,153.0,138.66666666666666,151.0,141.33333333333334,145.0,146.0
31,164.33333333333334,131.0,155.33333333333334,136.0,153.33333333333334,139.0,147.33333333333334,144.33333333333334
32,165.66666666666666,128.66666666666666,157.33333333333334,135.33333333333334,155.66666666666666,139.0,151.33333333333334,145.33333333333334
33,168.0,128.0,160.33333333333334,132.66666666666666,156.66666666666666,137.66666666666666,152.0,144.0
34,168.66666666666666,128.0,161.66666666666666,132.33333333333334,158.0,137.33333333333334,154.0,141.33333333333334
35,170.0,124.66666666666667,163.33333333333334,129.66666666666666,159.33333333333334,137.33333333333334,155.66666666666666,141.33333333333334
36,171.0,122.33333333333333,166.0,129.66666666666666,160.33333333333334,135.0,156.0,140.33333333333334
37,173.33333333333334,121.0,167.0,127.0,160.66666666666666,132.66666666666666,156.66666666666666,137.33333333333334
38,176.0,119.66666666666667,168.66666666666666,125.66666666666667,163.33333333333334,131.66666666666666,159.0,134.33333333333334
39,177.33333333333334,118.66666666666667,170.66666666666666,124.66666666666667,164.66666666666666,131.33333333333334,161.66666666666666,132.66666666666666
40,178.66666666666666,117.0,171.66666666666666,123.33333333333333,166.0,129.33333333333334,164.66666666666666,130.66666666666666
41,180.33333333333334,116.0,173.66666666666666,121.66666666666667,167.33333333333334,128.0,166.0,129.0
42,180.33333333333334,114.33333333333333,174.0,121.0,171.0,125.0,167.33333333333334,127.0
43,181.33333333333334,113.66666666666667,176.33333333333334,119.66666666666667,172.0,126.0,169.33333333333334,126.0
44,182.33333333333334,113.66666666666667,176.66666666666666,119.0,172.0,126.0,171.66666666666666,124.66666666666667
45,183.33333333333334,110.66666666666667,180.0,118.66666666666667,173.0,122.66666666666667,172.0,122.33333333333333
46,185.0,109.66666666666667,179.33333333333334,116.0,173.33333333333334,122.33333333333333,174.66666666666666,121.66666666666667
47,187.66666666666666,108.0,181.66666666666666,116.0,174.0,120.33333333333333,175.33333333333334,121.66666666666667
48,188.33333333333334,109.0,181.0,115.0,176.33333333333334,120.0,176.66666666666666,121.33333333333333
49,189.0,107.0,182.0,113.33333333333333,177.66666666666666,118.33333333333333,177.33333333333334,120.33333333333333
50,189.33333333333334,105.66666666666667,182.33333333333334,114.66666666666667,179.0,116.33333333333333,179.0,118.0
51,191.66666666666666,105.33333333333333,183.0,111.66666666666667,181.0,116.33333333333333,179.66666666666666,117.66666666666667
52,192.66666666666666,103.33333333333333,185.0,110.33333333333333,182.0,113.0,181.33333333333334,117.0
53,193.0,102.0,186.66666666666666,110.33333333333333,183.0,112.66666666666667,181.0,116.0
54,195.0,101.33333333333333,187.33333333333334,108.0,185.0,110.66666666666667,182.0,115.33333333333333
55,196.33333333333334,99.0,187.66666666666666,107.0,186.0,110.0,182.66666666666666,114.33333333333333
56,197.66666666666666,100.0,189.0,107.66666666666667,187.33333333333334,109.66666666666667,184.0,114.66666666666667
57,198.33333333333334,97.0,189.66666666666666,106.0,187.66666666666666,107.33333333333333,183.66666666666666,113.0
58,199.0,96.66666666666667,190.33333333333334,105.66666666666667,190.0,106.0,184.66666666666666,113.0
