Time,b_0.0_Positive,b_0.0_Negative,b_0.1_Positive,b_0.1_Negative,b_0.5_Positive,b_0.5_Negative,b_1.0_Positive,b_1.0_Negative
60,178.66666666666666,119.33333333333333,188.66666666666666,109.33333333333333,241.33333333333334,52.0,279.0,18.333333333333332
61,179.0,118.33333333333333,188.66666666666666,109.33333333333333,244.66666666666666,50.0,280.6666666666667,17.0
62,180.0,117.33333333333333,189.66666666666666,109.33333333333333,246.66666666666666,48.0,280.0,16.333333333333332
63,180.66666666666666,117.66666666666667,190.0,107.66666666666667,249.33333333333334,46.333333333333336,281.0,16.666666666666668
64,180.33333333333334,115.0,190.0,107.0,251.33333333333334,46.0,281.6666666666667,15.666666666666666
65,181.33333333333334,113.33333333333333,191.33333333333334,106.0,253.0,45.333333333333336,281.3333333333333,14.666666666666666
66,183.33333333333334,113.0,192.0,106.66666666666667,254.0,43.0,282.3333333333333,13.666666666666666
67,184.33333333333334,111.66666666666667,192.33333333333334,105.66666666666667,254.66666666666666,42.333333333333336,283.6666666666667,14.0
68,186.0,111.33333333333333,192.33333333333334,103.66666666666667,256.0,39.333333333333336,285.3333333333333,13.333333333333334
69,186.33333333333334,109.0,193.0,103.33333333333333,256.6666666666667,38.333333333333336,284.3333333333333,13.0
70,187.33333333333334,109.0,194.0,101.33333333333333,259.0,37.333333333333336,286.0,11.666666666666666
71,189.0,109.0,194.66666666666666,100.0,260.6666666666667,36.333333333333336,286.6666666666667,11.666666666666666
72,190.66666666666666,108.0,197.0,99.66666666666667,261.0,35.333333333333336,285.6666666666667,11.333333333333334
73,190.33333333333334,107.33333333333333,198.0,97.33333333333333,262.3333333333333,34.666666666666664,287.0,10.666666666666666
74,191.0,105.66666666666667,198.66666666666666,96.33333333333333,263.6666666666667,33.333333333333336,286.0,9.666666666666666
75,191.66666666666666,104.0,201.0,95.33333333333333,264.3333333333333,33.0,287.3333333333333,9.0
76,192.66666666666666,105.0,202.0,94.66666666666667,264.6666666666667,31.666666666666668,289.6666666666667,7.666666666666667
77,193.0,103.33333333333333,202.66666666666666,94.66666666666667,265.6666666666667,30.333333333333332,289.6666666666667,7.666666666666667
78,194.0,103.33333333333333,202.33333333333334,94.66666666666667,267.3333333333333,30.333333333333332,290.6666666666667,8.0
79,194.66666666666666,102.66666666666667,203.0,92.33333333333333,267.0,30.333333333333332,290.3333333333333,7.666666666666667
80,195.0,102.66666666666667,203.66666666666666,93.0,268.0,29.333333333333332,290.6666666666667,7.333333333333333
81,195.33333333333334,101.66666666666667,203.0,93.0,268.3333333333333,29.666666666666668,290.0,8.0
82,196.0,100.66666666666667,203.33333333333334,93.33333333333333,268.0,29.666666666666668,289.0,8.666666666666666
83,195.0,100.66666666666667,203.0,93.66666666666667,266.6666666666667,29.0,289.0,7.666666666666667
84,194.66666666666666,100.66666666666667,203.0,92.33333333333333,266.0,29.333333333333332,289.3333333333333,7.666666666666667
85,195.33333333333334,101.0,203.33333333333334,92.66666666666667,265.6666666666667,30.0,290.0,8.0
86,195.66666666666666,100.66666666666667,204.0,90.66666666666667,266.3333333333333,31.333333333333332,288.6666666666667,8.333333333333334
87,196.33333333333334,101.0,204.0,92.33333333333333,266.0,30.666666666666668,289.0,8.0
88,196.33333333333334,100.33333333333333,204.0,91.33333333333333,266.3333333333333,30.666666666666668,288.3333333333333,8.333333333333334
89,196.66666666666666,100.66666666666667,204.33333333333334,90.33333333333333,265.6666666666667,31.666666666666668,289.6666666666667,8.666666666666666
90,197.66666666666666,97.66666666666667,205.0,90.0,264.6666666666667,31.0,288.6666666666667,9.333333333333334
91,197.66666666666666,97.0,204.33333333333334,89.66666666666667,264.0,31.333333333333332,287.6666666666667,9.333333333333334
