Time,th_5.0_Positive,th_5.0_Negative,th_10.0_Positive,th_10.0_Negative,th_15.0_Positive,th_15.0_Negative,th_30.0_Positive,th_30.0_Negative
39,154.0,141.0,168.33333333333334,124.66666666666667,160.0,136.33333333333334,162.66666666666666,133.66666666666666
40,155.66666666666666,139.0,170.33333333333334,124.66666666666667,162.33333333333334,135.0,163.66666666666666,131.66666666666666
41,158.66666666666666,136.33333333333334,172.66666666666666,123.0,163.66666666666666,133.0,166.0,130.33333333333334
42,159.66666666666666,134.66666666666666,173.66666666666666,121.33333333333333,163.33333333333334,131.66666666666666,168.0,128.66666666666666
43,162.33333333333334,135.66666666666666,176.66666666666666,118.66666666666667,165.66666666666666,130.0,169.66666666666666,126.0
44,163.0,134.33333333333334,178.33333333333334,118.33333333333333,168.0,130.66666666666666,170.33333333333334,125.0
45,163.66666666666666,133.66666666666666,179.33333333333334,116.0,168.66666666666666,128.33333333333334,171.33333333333334,123.0
46,163.66666666666666,131.33333333333334,181.33333333333334,114.33333333333333,169.33333333333334,128.33333333333334,173.66666666666666,123.33333333333333
47,164.33333333333334,129.66666666666666,183.33333333333334,111.66666666666667,170.0,126.66666666666667,174.66666666666666,120.66666666666667
48,167.0,127.33333333333333,183.66666666666666,111.0,171.33333333333334,124.66666666666667,176.33333333333334,119.0
49,167.33333333333334,126.33333333333333,185.0,109.0,172.66666666666666,123.66666666666667,176.33333333333334,119.0
50,168.0,124.0,186.66666666666666,108.66666666666667,174.66666666666666,121.33333333333333,177.33333333333334,118.33333333333333
51,169.66666666666666,124.0,189.33333333333334,106.66666666666667,177.33333333333334,119.0,179.33333333333334,119.0
52,171.33333333333334,121.33333333333333,191.33333333333334,104.0,178.33333333333334,118.0,179.66666666666666,116.33333333333333
53,173.66666666666666,121.33333333333333,192.0,103.33333333333333,179.66666666666666,117.0,181.0,114.66666666666667
54,174.0,119.0,193.33333333333334,101.33333333333333,180.33333333333334,116.33333333333333,182.66666666666666,114.66666666666667
55,175.0,117.0,194.33333333333334,99.33333333333333,181.33333333333334,114.66666666666667,184.66666666666666,112.66666666666667
56,178.0,117.66666666666667,196.33333333333334,96.33333333333333,182.66666666666666,113.66666666666667,186.66666666666666,111.0
57,179.0,114.0,198.0,96.33333333333333,184.0,112.0,187.33333333333334,108.66666666666667
58,181.0,112.0,199.66666666666666,96.0,185.0,111.66666666666667,187.0,108.0
59,183.0,111.66666666666667,200.66666666666666,92.66666666666667,185.33333333333334,110.33333333333333,189.0,106.66666666666667
60,184.33333333333334,107.66666666666667,202.66666666666666,92.66666666666667,186.0,110.0,191.33333333333334,106.33333333333333
61,186.33333333333334,105.0,205.66666666666666,91.66666666666667,187.33333333333334,109.66666666666667,191.33333333333334,105.66666666666667
62,188.66666666666666,103.33333333333333,206.0,89.33333333333333,187.33333333333334,109.66666666666667,191.0,105.0
63,190.66666666666666,102.0,208.0,90.0,188.0,106.0,192.66666666666666,103.66666666666667
64,193.0,101.66666666666667,209.0,88.0,189.33333333333334,105.66666666666667,193.33333333333334,104.0
65,194.66666666666666,99.33333333333333,210.0,87.0,192.0,105.66666666666667,195.0,103.33333333333333
66,196.0,99.33333333333333,210.33333333333334,86.0,192.33333333333334,104.33333333333333,195.33333333333334,103.0
67,196.33333333333334,98.0,212.0,84.0,193.33333333333334,102.0,195.66666666666666,102.0
68,197.66666666666666,97.0,213.0,83.33333333333333,194.66666666666666,102.33333333333333,196.66666666666666,101.66666666666667
69,200.33333333333334,94.0,213.66666666666666,81.66666666666667,195.66666666666666,100.0,197.33333333333334,101.0
70,201.33333333333334,91.66666666666667,215.0,82.33333333333333,196.66666666666666,99.33333333333333,198.0,100.0
71,203.0,90.0,215.0,82.33333333333333,197.66666666666666,97.66666666666667,198.33333333333334,98.66666666666667
72,204.66666666666666,89.0,216.33333333333334,79.0,200.33333333333334,95.66666666666667,199.33333333333334,98.66666666666667
73,206.33333333333334,87.66666666666667,217.33333333333334,79.66666666666667,201.33333333333334,94.0,200.33333333333334,97.33333333333333
74,206.66666666666666,88.0,218.33333333333334,77.33333333333333,202.33333333333334,93.33333333333333,201.33333333333334,97.33333333333333
75,208.66666666666666,85.0,219.66666666666666,76.33333333333333,203.66666666666666,93.0,201.66666666666666,97.33333333333333
76,209.33333333333334,84.33333333333333,220.33333333333334,75.33333333333333,205.33333333333334,92.33333333333333,201.66666666666666,96.66666666666667
77,211.66666666666666,83.33333333333333,221.66666666666666,74.33333333333333,206.33333333333334,91.33333333333333,202.0,95.66666666666667
78,212.33333333333334,82.66666666666667,222.66666666666666,73.0,206.33333333333334,91.0,203.0,95.0
79,213.0,81.0,223.66666666666666,71.66666666666667,207.33333333333334,90.33333333333333,204.0,95.33333333333333
80,215.66666666666666,79.66666666666667,224.66666666666666,72.0,208.0,89.66666666666667,204.0,94.66666666666667
81,214.66666666666666,78.33333333333333,224.66666666666666,71.0,208.0,89.33333333333333,204.0,94.0
82,215.33333333333334,76.0,225.66666666666666,71.0,208.33333333333334,88.33333333333333,204.66666666666666,94.66666666666667
83,214.0,75.66666666666667,226.33333333333334,70.33333333333333,208.66666666666666,89.0,204.33333333333334,94.0
84,215.66666666666666,76.33333333333333,225.66666666666666,69.33333333333333,209.0,88.33333333333333,204.0,94.33333333333333
85,216.0,76.33333333333333,225.66666666666666,69.33333333333333,208.0,88.0,203.66666666666666,93.66666666666667
86,216.33333333333334,75.66666666666667,225.66666666666666,69.0,207.66666666666666,87.66666666666667,203.33333333333334,93.33333333333333
87,217.33333333333334,73.66666666666667,226.33333333333334,68.0,207.33333333333334,88.33333333333333,203.66666666666666,94.66666666666667
88,217.0,74.0,228.0,66.66666666666667,207.33333333333334,88.33333333333333,203.33333333333334,94.0
89,217.33333333333334,73.0,228.0,67.0,207.66666666666666,88.0,203.66666666666666,94.33333333333333
90,217.66666666666666,73.33333333333333,228.33333333333334,65.66666666666667,208.33333333333334,87.33333333333333,203.33333333333334,93.33333333333333
91,217.66666666666666,73.66666666666667,228.0,66.66666666666667,208.33333333333334,89.0,204.0,94.0
92,219.0,72.33333333333333,228.33333333333334,65.0,207.66666666666666,87.66666666666667,204.0,94.33333333333333
93,219.66666666666666,73.0,228.0,65.0,208.33333333333334,87.33333333333333,203.0,93.66666666666667
94,220.66666666666666,73.66666666666667,228.66666666666666,65.0,209.0,87.66666666666667,203.0,94.0
95,219.66666666666666,72.0,229.0,64.33333333333333,209.0,89.0,203.0,94.33333333333333
96,218.66666666666666,72.33333333333333,228.33333333333334,64.66666666666667,208.33333333333334,88.0,204.0,94.33333333333333
97,218.33333333333334,72.0,229.66666666666666,63.333333333333336,208.66666666666666,88.0,203.66666666666666,94.0
98,220.66666666666666,72.0,229.33333333333334,63.0,208.66666666666666,87.33333333333333,203.66666666666666,95.0
99,219.66666666666666,71.0,230.66666666666666,62.0,209.0,88.33333333333333,202.33333333333334,95.0
100,220.33333333333334,72.0,230.0,62.666666666666664,208.33333333333334,87.66666666666667,202.33333333333334,95.0
101,221.33333333333334,70.33333333333333,231.33333333333334,61.666666666666664,208.66666666666666,87.66666666666667,201.66666666666666,95.33333333333333
102,219.66666666666666,69.66666666666667,231.66666666666666,62.666666666666664,208.33333333333334,88.66666666666667,201.66666666666666,96.33333333333333
103,219.0,69.66666666666667,231.66666666666666,62.666666666666664,207.66666666666666,87.66666666666667,201.33333333333334,95.33333333333333
104,218.66666666666666,71.0,230.66666666666666,62.333333333333336,209.0,86.66666666666667,201.33333333333334,95.33333333333333
105,218.33333333333334,70.66666666666667,231.66666666666666,62.666666666666664,208.33333333333334,86.66666666666667,202.0,95.0
106,219.66666666666666,69.66666666666667,231.0,61.666666666666664,209.0,86.66666666666667,201.33333333333334,96.33333333333333
107,219.33333333333334,70.0,232.33333333333334,62.333333333333336,209.33333333333334,85.66666666666667,200.33333333333334,96.33333333333333
108,219.66666666666666,71.33333333333333,232.66666666666666,61.0,209.33333333333334,85.0,199.66666666666666,96.33333333333333
109,221.0,70.33333333333333,232.0,60.333333333333336,209.33333333333334,85.33333333333333,200.0,97.0
110,220.33333333333334,71.0,230.66666666666666,61.333333333333336,210.0,84.33333333333333,199.0,98.33333333333333
111,219.33333333333334,71.66666666666667,231.66666666666666,61.333333333333336,209.33333333333334,84.33333333333333,197.33333333333334,99.33333333333333
112,218.33333333333334,71.0,230.66666666666666,61.0,209.33333333333334,84.66666666666667,197.0,99.33333333333333
113,218.33333333333334,70.0,230.33333333333334,60.666666666666664,209.66666666666666,84.33333333333333,195.33333333333334,100.33333333333333
114,219.66666666666666,69.66666666666667,231.0,60.333333333333336,209.0,84.66666666666667,195.66666666666666,100.33333333333333
115,219.0,69.0,231.66666666666666,60.0,209.33333333333334,85.66666666666667,195.0,100.0
116,219.66666666666666,68.33333333333333,233.33333333333334,58.666666666666664,208.66666666666666,85.33333333333333,194.33333333333334,101.33333333333333
117,222.33333333333334,70.33333333333333,232.0,59.0,208.0,86.0,194.33333333333334,101.33333333333333
118,221.33333333333334,69.0,232.0,58.666666666666664,208.33333333333334,87.66666666666667,193.66666666666666,100.66666666666667
119,222.33333333333334,68.0,232.33333333333334,57.333333333333336,208.33333333333334,88.33333333333333,194.33333333333334,100.33333333333333
120,221.33333333333334,69.0,235.66666666666666,57.0,208.0,87.0,193.33333333333334,102.66666666666667
121,222.0,68.33333333333333,235.0,57.0,208.66666666666666,87.66666666666667,194.0,103.33333333333333
122,222.0,70.33333333333333,233.0,56.333333333333336,208.33333333333334,86.33333333333333,194.33333333333334,103.0
123,221.66666666666666,70.0,232.66666666666666,56.0,207.33333333333334,86.0,193.33333333333334,102.33333333333333
124,221.0,66.33333333333333,235.0,54.0,207.33333333333334,86.0,194.33333333333334,102.33333333333333
125,221.0,67.0,235.0,56.666666666666664,206.66666666666666,87.0,194.33333333333334,101.0
126,220.33333333333334,67.66666666666667,236.33333333333334,56.0,206.33333333333334,87.33333333333333,193.33333333333334,101.0
127,222.66666666666666,66.66666666666667,236.0,55.333333333333336,206.0,87.0,194.33333333333334,102.33333333333333
128,223.0,65.0,237.33333333333334,54.666666666666664,206.33333333333334,86.33333333333333,194.0,100.33333333333333
129,223.33333333333334,65.33333333333333,236.66666666666666,54.0,206.33333333333334,86.33333333333333,193.33333333333334,100.33333333333333
130,223.33333333333334,63.333333333333336,235.33333333333334,54.0,206.66666666666666,86.0,193.0,101.33333333333333
131,222.66666666666666,64.66666666666667,234.0,54.666666666666664,206.33333333333334,86.33333333333333,194.0,100.66666666666667
132,224.33333333333334,65.33333333333333,236.0,55.333333333333336,205.0,86.33333333333333,192.66666666666666,100.0
133,225.33333333333334,63.666666666666664,235.33333333333334,55.333333333333336,206.0,85.66666666666667,193.66666666666666,99.66666666666667
134,226.33333333333334,65.33333333333333,236.0,55.666666666666664,205.66666666666666,86.33333333333333,193.66666666666666,100.0
135,225.0,65.0,237.0,55.666666666666664,206.33333333333334,87.33333333333333,194.33333333333334,101.0
136,225.0,64.66666666666667,236.0,55.0,207.33333333333334,87.33333333333333,193.33333333333334,100.0
137,225.33333333333334,65.33333333333333,237.0,54.666666666666664,207.33333333333334,87.33333333333333,194.33333333333334,100.33333333333333
138,224.66666666666666,63.666666666666664,237.0,55.0,205.66666666666666,87.0,193.33333333333334,99.0
139,225.0,65.33333333333333,238.33333333333334,55.666666666666664,207.0,87.33333333333333,194.66666666666666,99.66666666666667
140,225.66666666666666,65.0,237.66666666666666,55.666666666666664,207.0,87.33333333333333,195.33333333333334,100.33333333333333
141,223.66666666666666,66.33333333333333,237.33333333333334,54.333333333333336,206.66666666666666,86.0,196.0,99.66666666666667
142,225.0,67.33333333333333,238.0,54.666666666666664,205.33333333333334,86.33333333333333,196.0,100.66666666666667
143,225.0,65.0,237.0,54.666666666666664,206.0,87.0,195.33333333333334,100.0
144,226.66666666666666,65.0,235.66666666666666,55.666666666666664,206.0,85.0,196.66666666666666,98.66666666666667
145,225.66666666666666,63.333333333333336,236.66666666666666,56.333333333333336,206.0,86.33333333333333,194.66666666666666,99.0
146,226.33333333333334,64.33333333333333,236.0,56.666666666666664,205.0,85.66666666666667,194.33333333333334,99.66666666666667
147,225.33333333333334,63.333333333333336,234.33333333333334,57.333333333333336,205.33333333333334,86.0,196.0,99.33333333333333
148,225.33333333333334,63.333333333333336,236.0,59.333333333333336,207.33333333333334,84.66666666666667,196.33333333333334,98.66666666666667
149,227.33333333333334,63.333333333333336,234.66666666666666,59.0,205.33333333333334,85.66666666666667,194.0,99.33333333333333
